Company;Sector;Industry;Report Year;Report URL;File Name;File Type;Status;Local Path
Adobe Inc;Technology & Communications;Software & IT Services;2023;https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-2023.pdf;Adobe Inc_2023.pdf;PDF;success;reports\Technology & Communications\Software & IT Services\Adobe Inc_2023.pdf
ADT Inc;Services;Professional & Commercial Services;2023;https://s201.q4cdn.com/833622905/files/doc_downloads/esg_docs/2024/ADT_2023_ESG_Report.pdf;ADT Inc_2023.pdf;PDF;success;reports\Services\Professional & Commercial Services\ADT Inc_2023.pdf
Advance Auto Parts, Inc.;Consumer Goods;Multiline and Specialty Retailers & Distributors;2022;https://online.flippingbook.com/view/1065082966/;AAP 20ESG 202022_M2.0.pdf;PDF;success;reports\Consumer Goods\Multiline and Specialty Retailers & Distributors\AAP 20ESG 202022_M2.0.pdf
Advanced Info Service PCL;Technology & Communications;Telecommunication Services;2024;https://investor.ais.co.th/misc/sustainability/20250127-advanc-srd-2024-en.pdf;Advanced Info Service PCL_2024.pdf;PDF;success;reports\Technology & Communications\Telecommunication Services\Advanced Info Service PCL_2024.pdf
Advanced Micro Devices Inc AMD;Technology & Communications;Semiconductors;2023-2024;https://www.amd.com/content/dam/amd/en/documents/corporate/cr/corporate-responsibility-report.pdf;Advanced Micro Devices Inc AMD_2023-2024.pdf;PDF;success;reports\Technology & Communications\Semiconductors\corporate-responsibility-report.pdf
AdvanSix Inc;Resource Transformation;Chemicals;2023;https://www.advansix.com/wp-content/uploads/2024/07/AdvanSix-2023-Sustainability-Report.pdf;AdvanSix Inc_2023.pdf;PDF;success;reports\Resource Transformation\Chemicals\AdvanSix-2023-Sustainability-Report.pdf
Advantech Co Ltd;Technology & Communications;Hardware;2023;https://advcloudfiles.advantech.com/csr/Report/2023ESG_EN.pdf;Advantech Co Ltd_2023.pdf;PDF;success;reports\Technology & Communications\Hardware\Advantech Co Ltd_2023.pdf
AECOM;Infrastructure;Engineering & Construction Services;2024;https://investors.aecom.com/static-files/89f703db-e5f8-4a16-a3a1-9e8f06620542;AECOM_2024_Sustainability_Report_final 4.0.pdf;PDF;success;reports\Infrastructure\Engineering & Construction Services\AECOM_2024_Sustainability_Report_final 4.0.pdf
Aecon Group Inc.;Infrastructure;Engineering & Construction Services;2023;https://www.aecon.com/docs/default-source/sustainability-report/2023-sustainability-report.pdf?sfvrsn=55808078_5;Aecon Group Inc._2023.pdf;PDF;success;reports\Infrastructure\Engineering & Construction Services\Aecon Group Inc._2023.pdf
Aer Lingus Group DAC;Transportation;Airlines;2023;https://www.iairgroup.com/media/kfenna5k/iag-cnmv-annual-financial-report-2023-english.pdf;Aer Lingus Group DAC_2023.pdf;PDF;success;reports\Transportation\Airlines\Aer Lingus Group DAC_2023.pdf
Aeroflot PJSC;Transportation;Airlines;2023;https://ir.aeroflot.com/fileadmin/user_upload/files/rus/common_info/gosa_doc_2024/Aeroflot_CSR2023_ENG_Book.pdf;Aeroflot PJSC_2023.pdf;PDF;success;reports\Transportation\Airlines\Aeroflot PJSC_2023.pdf
